====================================
  Cat Bot Application Emojis
  Total: 133 emojis
====================================

--- Rain ---
2rain                    <:2rain:1459987926115946654>
2rain_claimed            <:2rain_claimed:1459987927487611032>

--- Cat Types (Standard) ---
piece                    <:piece:1459987979471687740>
pointlaugh               <:pointlaugh:1459987985461149870>
prism                    <:prism:1459987986912378901>
sillycat                 <:sillycat:1459987990557495368>
staring_cat              <:staring_cat:1459987995057721549>
staring_square           <:staring_square:1459987997192880244>
topgg                    <:topgg:1459988003131883611>
why_v1                   <:why_v1:1459988012904481122>

--- Animated ---
vanish                   <a:vanish:1459988010954260492>
